MUNICIPIO,CULTIVO,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t)
almeida,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
aquitania,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa-criolla,2018a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
san-miguel-de-sema,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa-criolla,2018a,[310.9-620.8],[560.63995-840.55994],[6000.45-12000.4]
tasco,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tipacoque,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
aquitania,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2018b,[1240.6-1550.5],[0.8-280.71997],[24000.3-30000.25]
belen,papa,2018b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
beteitiva,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
boyaca,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
buenavista,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chinavita,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2018b,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
chiquiza,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivor,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2018b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
corrales,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-espino,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
garagoa,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongui,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nobsa,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
oicata,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pachavita,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paz-de-rio,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa,2018b,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
raquira,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
rondon,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2018b,[2480.2-2790.0999],[0.8-280.71997],[48000.098-54000.047]
samaca,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
samaca,papa,2018b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
san-miguel-de-sema,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2018b,[310.9-620.8],[280.71997-560.63995],[12000.4-18000.352]
siachoque,papa,2018b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
siachoque,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2018b,[1.0-310.9],[280.71997-560.63995],[6000.45-12000.4]
socha,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2018b,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
sogamoso,papa,2018b,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
somondoco,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2018b,[310.9-620.8],[560.63995-840.55994],[12000.4-18000.352]
sotaquira,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
susacon,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibasosa,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2018b,[620.8-930.69995],[840.55994-1120.48],[6000.45-12000.4]
tota,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2018b,[1860.4-2170.3],[0.8-280.71997],[36000.2-42000.15]
turmeque,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2018b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
umbita,papa,2018b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
ventaquemada,papa,2018b,[2170.3-2480.2],[0.8-280.71997],[54000.047-60000.0]
villa-de-leyva,papa,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2018b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
aquitania,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa-criolla,2018b,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
santa-rosa-de-viterbo,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa-criolla,2018b,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
tasco,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2018b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
boyaca,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivor,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa-criolla,2017b,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
siachoque,papa,2017b,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
jerico,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2017b,[1550.5-1860.4],[0.8-280.71997],[30000.25-36000.2]
pachavita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chinavita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2017b,[930.69995-1240.6],[560.63995-840.55994],[12000.4-18000.352]
socota,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibasosa,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa-criolla,2017b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
siachoque,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
samaca,papa,2017b,[930.69995-1240.6],[0.8-280.71997],[24000.3-30000.25]
jerico,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2017b,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
topaga,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-espino,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2017b,[2480.2-2790.0999],[0.8-280.71997],[42000.15-48000.098]
gachantiva,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa,2017b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
aquitania,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2017b,[310.9-620.8],[280.71997-560.63995],[12000.4-18000.352]
motavita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2017b,[1240.6-1550.5],[0.8-280.71997],[18000.352-24000.3]
oicata,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2017b,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
cienega,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongui,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
garagoa,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
turmeque,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
san-miguel-de-sema,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nobsa,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soata,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
somondoco,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa,2017b,[1240.6-1550.5],[0.8-280.71997],[42000.15-48000.098]
umbita,papa,2017b,[310.9-620.8],[560.63995-840.55994],[6000.45-12000.4]
raquira,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa,2017b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
chiscas,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
villa-de-leyva,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2017b,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
tasco,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
aquitania,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
corrales,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
rondon,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2017b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
sogamoso,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2017b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2017b,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
rondon,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
floresta,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
susacon,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2013a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
ramiriqui,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2012b,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
pachavita,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa,2011a,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
beteitiva,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-sofia,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2014a,[930.69995-1240.6],[560.63995-840.55994],[12000.4-18000.352]
sogamoso,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibasosa,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2012a,[2790.0999-3100.0],[0.8-280.71997],[36000.2-42000.15]
ramiriqui,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa-criolla,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2013a,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
el-espino,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2011b,[1860.4-2170.3],[0.8-280.71997],[24000.3-30000.25]
guacamayas,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
samaca,papa,2012a,[620.8-930.69995],[560.63995-840.55994],[18000.352-24000.3]
cuitiva,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2013b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
chiscas,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
raquira,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2016a,[930.69995-1240.6],[0.8-280.71997],[12000.4-18000.352]
sora,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2013b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
chivor,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
